record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,11.4,13.1,-13,N,990.0,919.5,8,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,6.1,8.7,-30,D,400.2,620.9,-36,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,9.0,16.5,-45,D,1478.6,1083.5,36,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,17.3,12.1,43,E,821.1,924.9,-11,N
STATE,ARUNACHAL PRADESH,,,2.3,8.1,-71,LD,674.1,1070.2,-37,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,5.7,-100,NR,120.4,1051.9,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,5.8,-100,NR,706.1,855.4,-17,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,13.1,5.2,152,LE,998.0,770.1,30,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.9,7.8,-88,LD,1658.9,2054.2,-19,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,37.7,7.2,423,LE,408.3,734.0,-44,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.0,6.2,-100,NR,659.7,1018.1,-35,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,4.6,6.8,-33,D,287.8,477.2,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,2.8,11.1,-75,LD,1254.7,1456.9,-14,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,9.1,-100,NR,218.1,607.3,-64,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,8.6,-100,NR,1381.7,1273.2,9,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,2.6,9.1,-71,LD,837.8,1058.7,-21,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.4,-100,NR,266.3,597.3,-55,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,5.8,11.3,-49,D,335.7,1079.9,-69,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.3,14.3,-98,LD,483.4,1297.0,-63,LD
STATE,ASSAM & MEGHALAYA,,,10.1,10.6,-5,N,742.5,1141.5,-35,D
STATE,ASSAM,,,11.1,10.6,4,N,734.1,951.6,-23,D
DISTRICT,ASSAM,1,BAJALI,0.5,6.7,-93,LD,874.5,1423.3,-39,D
DISTRICT,ASSAM,2,BAKSA,1.4,4.4,-67,LD,901.0,1041.3,-13,N
DISTRICT,ASSAM,3,BARPETA,14.0,6.7,109,LE,1048.3,1423.3,-26,D
DISTRICT,ASSAM,6,CACHAR,39.0,16.2,141,LE,1158.1,1158.5,0,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,8.4,-100,NR,842.0,609.1,38,E
DISTRICT,ASSAM,9,DARRANG,2.0,15.9,-87,LD,493.6,861.9,-43,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,23.2,-100,NR,1475.1,1304.9,13,N
DISTRICT,ASSAM,11,DHUBRI,2.6,7.0,-63,LD,1000.7,1406.3,-29,D
DISTRICT,ASSAM,12,DIBRUGARH,0.5,11.4,-95,LD,812.2,940.1,-14,N
DISTRICT,ASSAM,13,DIMA HASAO,11.0,5.6,96,LE,304.3,701.3,-57,D
DISTRICT,ASSAM,14,GOALPARA,2.4,7.6,-68,LD,581.7,1320.9,-56,D
DISTRICT,ASSAM,15,GOLAGHAT,1.4,12.6,-89,LD,593.3,651.3,-9,N
DISTRICT,ASSAM,16,HAILAKANDI,34.4,16.7,106,LE,767.3,981.6,-22,D
DISTRICT,ASSAM,17,HOJAI,25.3,7.3,246,LE,276.7,467.7,-41,D
DISTRICT,ASSAM,18,JORHAT,0.1,14.8,-99,LD,597.0,777.4,-23,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,23.0,5.8,297,LE,574.3,689.1,-17,N
DISTRICT,ASSAM,20,KAMRUP RURAL,16.6,5.8,186,LE,380.1,843.9,-55,D
DISTRICT,ASSAM,21,KARBI ANGLONG,0.0,5.7,-100,NR,352.2,504.3,-30,D
DISTRICT,ASSAM,22,KOKRAJHAR,67.5,19.3,250,LE,1800.2,1800.6,0,N
DISTRICT,ASSAM,23,LAKHIMPUR,2.5,23.4,-89,LD,1576.1,1281.9,23,E
DISTRICT,ASSAM,25,MORIGAON,36.5,6.2,489,LE,414.9,699.8,-41,D
DISTRICT,ASSAM,26,NAGAON,15.6,6.6,136,LE,318.4,640.4,-50,D
DISTRICT,ASSAM,27,NALBARI,0.5,5.7,-92,LD,404.2,1053.5,-62,LD
DISTRICT,ASSAM,28,SIBSAGAR,0.7,13.2,-94,LD,534.1,752.5,-29,D
DISTRICT,ASSAM,29,SONITPUR,3.7,11.0,-66,LD,779.3,749.0,4,N
DISTRICT,ASSAM,31,SRIBHUMI,27.1,18.5,46,E,1191.1,1405.8,-15,N
DISTRICT,ASSAM,32,TAMULPUR,0.0,4.4,-100,NR,892.7,929.3,-4,N
DISTRICT,ASSAM,33,TINSUKIA,5.1,9.3,-46,D,912.1,913.6,0,N
DISTRICT,ASSAM,34,UDALGURI,0.5,9.0,-95,LD,442.6,960.0,-54,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,3.6,7.1,-49,D,373.0,449.0,-17,N
STATE,MEGHALAYA,,,7.0,10.6,-34,D,769.3,1767.5,-56,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,16.8,7.1,136,LE,525.4,1218.7,-57,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,5.5,13.7,-60,LD,1159.5,2997.7,-61,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,4.3,14.1,-69,LD,1550.9,3033.8,-49,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,1.7,9.2,-82,LD,394.6,1148.1,-66,LD
DISTRICT,MEGHALAYA,5,RI BHOI,6.7,8.6,-22,D,476.9,927.5,-49,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,7.6,9.2,-17,N,687.4,1148.1,-40,D
